_id,created_date,id,is_private,quantity,total_price,payment_token_symbol,payment_token_usd_price,asset_token_id,asset_num_sales,asset_id,asset_image_url,transaction_from_account_username,seller_username,winner_account_username
61b41aebd6ab32dbd9a84ea0,2021-12-11T03:27:23.942099,2427455930,False,1,365000000000000000,ETH,3983.769999999999982000,1,14807,44596334,https://lh3.googleusercontent.com/9GgkzN-7si-yuuOHyZ6OmOj28LBRutwfFA-rgJnT10vXDuv8-nJdVd5r6UjQEnvlquDEYHVlXIt82Y5rzKNXljSV9rp7hI6BQtCleQ,nikolas17,0xBub,nikolas17
61b41aebd6ab32dbd9a84ea1,2021-12-11T03:20:03.826890,2427391259,unknown,1,500000000000000000,WETH,3972.699999999999818000,5594,2,59286920,https://lh3.googleusercontent.com/ko_eY806byoe1ksf9B3fgul01OAM2qSZhojAL_askyIEBLYJEONr8yqwxd8p3hd652xGA0mpIyqlu-tD3aqw082Sfz5FydKCFnC8V44,adamludwin,adamludwin,858
61b41aebd6ab32dbd9a84ea2,2021-12-11T02:47:15.343322,2427093401,False,1,1000000000000000000,ETH,3983.769999999999982000,8839,1,59336121,https://lh3.googleusercontent.com/yNssfCMygvRC9kPILiHwLuf9EA88LMZEFldlgbfLvoRYwly1yZJGIa4haJewUn6VJJs13tyUDuyxWGqTzRwdkOS72zfTOd6F-lqr,Iamchef,DirtySderty,Iamchef
61b41aebd6ab32dbd9a84ea3,2021-12-11T02:42:27.297857,2427048878,False,1,365000000000000000,ETH,3983.769999999999982000,1,14807,44596334,https://lh3.googleusercontent.com/9GgkzN-7si-yuuOHyZ6OmOj28LBRutwfFA-rgJnT10vXDuv8-nJdVd5r6UjQEnvlquDEYHVlXIt82Y5rzKNXljSV9rp7hI6BQtCleQ,Iamchef,Plodder,Iamchef
61b41aebd6ab32dbd9a84ea4,2021-12-11T02:40:32.844348,2427031938,False,1,990000000000000000,ETH,3983.769999999999982000,22655,2,67491120,https://lh3.googleusercontent.com/nlVFhb7yVUDIXgl9SbV0bGQYpMBzvPccp6vasAky1Ltke9n-SJrhxKnsK94flUN_BL6ILm11XCMrgUIQSnKrICvzvZVN2wf2u3pRaw,Iamchef,unknown,Iamchef
61b41aebd6ab32dbd9a84ea5,2021-12-11T02:38:36.084164,2427014526,False,1,363000000000000000,ETH,3983.769999999999982000,1,14807,44596334,https://lh3.googleusercontent.com/9GgkzN-7si-yuuOHyZ6OmOj28LBRutwfFA-rgJnT10vXDuv8-nJdVd5r6UjQEnvlquDEYHVlXIt82Y5rzKNXljSV9rp7hI6BQtCleQ,SpigaloBass,mcheng40,SpigaloBass
61b41aebd6ab32dbd9a84ea6,2021-12-11T02:28:32.077428,2426924661,unknown,1,36000000000000000000,ASH,1.910000000000000000,1,14807,44596334,https://lh3.googleusercontent.com/9GgkzN-7si-yuuOHyZ6OmOj28LBRutwfFA-rgJnT10vXDuv8-nJdVd5r6UjQEnvlquDEYHVlXIt82Y5rzKNXljSV9rp7hI6BQtCleQ,Fbaby,Fbaby,Thrilla
61b41aebd6ab32dbd9a84ea7,2021-12-11T02:27:51.636711,2426918899,unknown,2,72000000000000000000,ASH,1.910000000000000000,1,14807,44596334,https://lh3.googleusercontent.com/9GgkzN-7si-yuuOHyZ6OmOj28LBRutwfFA-rgJnT10vXDuv8-nJdVd5r6UjQEnvlquDEYHVlXIt82Y5rzKNXljSV9rp7hI6BQtCleQ,Fbaby,Fbaby,Thrilla
61b41aebd6ab32dbd9a84ea8,2021-12-11T02:26:30.372093,2426906802,unknown,2,72000000000000000000,ASH,1.910000000000000000,1,14807,44596334,https://lh3.googleusercontent.com/9GgkzN-7si-yuuOHyZ6OmOj28LBRutwfFA-rgJnT10vXDuv8-nJdVd5r6UjQEnvlquDEYHVlXIt82Y5rzKNXljSV9rp7hI6BQtCleQ,Fbaby,Fbaby,Thrilla
61b41aebd6ab32dbd9a84ea9,2021-12-11T02:07:28.790174,2426744498,False,1,350000000000000000,ETH,3983.769999999999982000,1,14807,44596334,https://lh3.googleusercontent.com/9GgkzN-7si-yuuOHyZ6OmOj28LBRutwfFA-rgJnT10vXDuv8-nJdVd5r6UjQEnvlquDEYHVlXIt82Y5rzKNXljSV9rp7hI6BQtCleQ,unknown,vault-heyhaigh,unknown
61b41aebd6ab32dbd9a84eaa,2021-12-11T01:48:12.153987,2426580495,False,1,975000000000000000,ETH,3983.769999999999982000,6381,1,59294539,https://lh3.googleusercontent.com/TrEK3-wyVZxogxMXp6ZBn7m2mymEhGyZVQpyXXZ9c56T_9gI4VqBT-nVNik_NtvMJoER_M3xd_cDgMBM7xjfwDWW1fNkpikOVWrTMA,fanman,vault-heyhaigh,fanman
61b41aebd6ab32dbd9a84eab,2021-12-11T01:42:22.269707,2426523852,False,1,850000000000000000,ETH,3983.769999999999982000,6998,2,59303772,https://lh3.googleusercontent.com/gBBlRTHSWrVdd0yJ-qHOCJzilBx2WbxOE-ZeNFKmtbccKTFkdbcKYeTSdewE_eV2FfLaC-3yAfWYRBTjqNLBHTCOFRvMjhiuRF-9lA,nikolas17,METAArchs,nikolas17
61b41aebd6ab32dbd9a84eac,2021-12-11T01:40:45.698644,2426507753,False,1,350000000000000000,ETH,3983.769999999999982000,1,14807,44596334,https://lh3.googleusercontent.com/9GgkzN-7si-yuuOHyZ6OmOj28LBRutwfFA-rgJnT10vXDuv8-nJdVd5r6UjQEnvlquDEYHVlXIt82Y5rzKNXljSV9rp7hI6BQtCleQ,ram-che,ApeGuevara9,ram-che
